# ПОРЦИЯ ru-098 — 98 из 178. Слова 19401–19600 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	унаследуешь	105	TS	
.	хитры	105	TS	
.	отложишь	104	TS	
.	лясы	103	TS	
.	обладаете	406	TS	
.	пересечься	322	TS	
.	помрешь	320	S	
.	обрадуешься	307	TS	
.	рождаемся	305	TS	
.	выбросят	303	TS	
.	перейди	296	TS	
.	триада	293	S	с заглавной 57% · рядом: здесь 6, хочет 5, убила 5
.	рубильник	292	TS	
.	ботинками	291	TS	
.	вышлют	289	TS	
.	кушает	283	TS	
.	воспитана	282	TS	
.	постучала	280	TS	
.	революционер	280	TS	
.	переметнулся	279	TS	
.	цеплять	279	S	
.	уволите	278	TS	
.	наваждение	277	TS	
.	ничтожные	275	TS	
.	задачку	274	TS	
.	сжальтесь	273	TS	
.	клыками	271	S	
.	передвинул	271	TS	
.	поплаваем	270	TS	
.	презервативами	270	S	
.	проглотили	270	TS	
.	откажу	269	TS	
.	покемонами	268	TS	
.	ненадежный	267	TS	
.	обнаружится	266	TS	
.	впускай	264	TS	
.	скроется	263	TS	
.	мстителя	262	S	с заглавной 36% · рядом: одинокого 71, найти 12, этого 11
.	нарушите	262	TS	
.	сахарные	262	TS	
.	хлопай	262	TS	
.	помоем	260	TS	
.	искренни	259	TS	
.	лакея	259	S	
.	смэш	259	TS	с заглавной 77% · Игрок отправил лёгкий смэш в сетку.
.	карамелью	257	TS	
.	прибьет	257	S	
.	воображать	256	S	
.	вытворяют	256	TS	
.	геям	256	S	
.	заплачешь	256	TS	
.	продержать	255	S	
.	кьней	253	S	
.	братишку	251	S	
.	балуешь	250	TS	
.	скупил	250	TS	
.	скверное	249	TS	
.	тактично	249	TS	
.	ягодка	248	TS	
.	вызываете	247	TS	
.	перехватило	247	TS	
.	обманчива	245	TS	
.	бутерброда	243	TS	
.	проститутке	243	TS	
.	стульчик	243	TS	
.	титаном	243	S	
.	колпачок	242	TS	
.	порнушку	241	TS	
.	убегаете	241	TS	
.	бензобак	240	TS	
