# ПОРЦИЯ ru-099 — 99 из 178. Слова 19601–19800 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	появимся	215	S	
.	таращиться	215	TS	
.	ботаников	214	TS	
.	доложит	214	TS	
.	разделяться	214	S	
.	шалунишка	214	TS	
.	гусыня	213	TS	
.	заведую	213	TS	
.	лошадиный	213	S	
.	обдурил	213	TS	
.	плантация	213	S	
.	посылкой	213	S	
.	везёте	212	TS	
.	нациста	212	S	
.	неловкие	212	TS	
.	поприсутствовать	212	TS	
.	причиняла	212	TS	
.	инкассаторов	211	S	
.	негодный	211	TS	
.	осмеливается	211	TS	
.	отнимешь	211	TS	
.	сдвинулись	211	TS	
.	трахею	211	S	
.	яви	211	S	рядом: мне 64, нам 52, себя 39
.	влюбленной	210	TS	
.	мотылек	210	S	
.	незнаком	210	TS	
.	отрекаюсь	210	S	
.	пугаются	210	TS	
.	гоблина	209	TS	с заглавной 38% · Каждого волшебника ненавидят ровно два гоблина.
.	коммутатор	209	TS	
.	луковый	209	TS	
.	настойку	209	S	
.	поедемте	209	TS	
.	проскочила	209	TS	
.	бесполезную	208	TS	
.	красавцев	208	TS	
.	метишь	208	S	
.	обручального	208	TS	
.	просачивается	208	TS	
.	реинкарнации	208	TS	
.	рискнем	208	TS	
.	удивятся	208	TS	
.	буйвол	207	TS	
.	забрел	207	S	
.	наесться	207	TS	
.	помоешь	207	TS	
