# ПОРЦИЯ ru-037 — 37 из 178. Слова 7201–7400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	жмет	338	S	
.	расстроили	338	TS	
.	высокопреосвященство	337	S	с заглавной 68% · рядом: ваше 390, кардинал 11, вы 11
.	сынка	333	TS	
.	хмурый	333	TS	
.	подхвате	330	TS	
.	прощаешь	330	TS	
.	хрустящий	329	TS	
.	наклонись	327	TS	
.	отомстит	325	TS	
.	мозгоправ	324	S	
.	шухере	322	TS	
.	битья	315	TS	
.	уговора	313	S	
.	одержимым	310	TS	
.	таскала	300	S	
.	крепись	296	TS	
.	телепортироваться	296	TS	
.	праху	293	TS	
.	барыга	292	TS	
.	стирал	290	TS	
.	нагоняй	289	TS	
.	заботило	285	TS	
.	приглядывает	278	S	
.	телепорт	278	S	
.	завидуете	271	TS	
.	испугаюсь	258	TS	
.	заменю	596	TS	
.	заменим	590	TS	
.	вернёте	576	TS	
.	хватайся	561	TS	
.	коммандера	550	S	
.	меняемся	538	TS	
.	гребаных	537	S	
.	скрипит	532	TS	
.	выложу	528	TS	
.	радугу	528	TS	
.	дурочку	508	S	
.	щеночек	487	TS	
.	приставай	481	TS	
.	почувствуйте	479	TS	
.	приемник	477	S	
.	превратно	475	TS	
.	райский	475	TS	
.	отследила	472	S	
.	задержит	469	TS	
.	путаться	469	TS	
.	зайдёте	467	TS	
.	разделаться	466	TS	
.	приведём	465	TS	
.	сыграйте	464	TS	
.	переключи	461	TS	
.	побрить	461	TS	
.	наглец	457	TS	
.	напряжен	456	TS	
.	азиат	452	TS	
.	восвояси	452	TS	
.	удостоверюсь	452	TS	
.	бежите	451	TS	
.	дураках	451	TS	
.	подстричь	447	TS	
.	лайм	446	TS	
.	испуганный	444	TS	
.	срываться	442	TS	
.	навещаю	440	TS	
.	воровала	439	TS	
.	кончишь	439	TS	
.	обыскала	439	TS	
.	ограбила	438	TS	
.	подлые	436	TS	
.	старушке	433	TS	
.	щётку	433	TS	
