# ПОРЦИЯ ru-036 — 36 из 178. Слова 7001–7200 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	вое	351	S	рядом: равно 18, еще 12, здоровье 10
.	подслушивал	351	TS	
.	опиума	350	TS	
.	осиное	349	TS	
.	одевалась	348	TS	
.	командуй	347	TS	
.	побеспокоить	347	TS	
.	одиночеством	345	TS	
.	уловок	342	TS	
.	колько	341	S	
.	демонам	340	S	
.	черномазый	339	S	
.	завяжи	338	TS	
.	согревает	336	TS	
.	папик	334	S	
.	услышьте	334	TS	
.	зай	333	S	рядом: привет 27, ты 22, спасибо 17
.	искусный	333	TS	
.	капут	333	TS	
.	комнатам	332	TS	
.	терпению	331	TS	
.	попадаем	328	TS	
.	маяке	324	TS	
.	хлеву	316	TS	
.	скунс	315	TS	
.	долбаного	313	S	
.	повернулись	309	TS	
.	лазил	307	TS	
.	узко	305	TS	
.	тусили	303	S	
.	допью	301	TS	
.	тороплю	298	TS	
.	поразительный	296	TS	
.	пробуешь	292	TS	
.	каюсь	280	TS	
.	манипулировали	266	TS	
.	тащила	253	S	
.	совершаете	590	TS	
.	телки	586	S	
.	готовка	567	TS	
.	поспал	550	TS	
.	тянем	544	TS	
.	предполагаете	536	TS	
.	сломались	533	TS	
.	потратишь	526	TS	
.	улитка	516	TS	
.	надули	510	TS	
.	сверкает	509	TS	
.	чакру	503	S	
.	обогреватель	502	TS	
.	удивляешься	501	TS	
.	человечка	499	TS	
.	потею	494	TS	
.	замолчал	493	TS	
.	превращаюсь	491	TS	
.	прыщ	491	TS	
.	пугайся	489	TS	
.	пристегните	487	TS	
.	гриш	486	TS	с заглавной 80% · Боже, Гриш, что ты тут такое учинил?
.	прерываем	486	TS	
.	дятел	485	TS	
.	подписывай	480	TS	
.	щипцы	478	TS	
.	намереваюсь	477	TS	
.	целитель	476	S	
.	сырные	471	S	
.	убедим	469	TS	
.	чёртовом	469	TS	
.	столкнули	468	TS	
.	змеями	466	TS	
.	необыкновенный	466	TS	
.	парочке	465	TS	
.	така	460	S	с заглавной 76% · рядом: ты 15, рама 13, шефа 11
.	напрямик	459	TS	
.	настали	459	TS	
.	виста	458	S	с заглавной 74% · рядом: ла 173, буа 55, дель 32
.	педики	458	S	
.	стерву	454	S	
.	конфетти	451	TS	
.	скальп	450	TS	
.	увези	449	TS	
.	смените	448	TS	
.	краду	447	TS	
.	посчитай	446	TS	
.	прыгнет	446	TS	
.	наслаждаетесь	443	TS	
.	побеспокоит	443	TS	
.	разлюбил	443	TS	
.	свинки	441	TS	
.	женушка	440	TS	
.	кузине	440	TS	
.	промокли	440	TS	
.	драконий	437	TS	с заглавной 61% · В гнёздах на скалах живёт драконий выводок.
.	пешкой	435	TS	
.	долбаную	433	S	
.	обыщи	431	TS	
.	творятся	431	TS	
.	вцепилась	430	TS	
.	павлин	430	TS	
.	развяжите	428	S	
.	голограмма	427	TS	
.	криптонит	427	S	
.	подвергаешь	426	TS	
.	прослушивают	425	TS	
.	сердитый	424	TS	
.	тапки	424	TS	
.	фуфло	424	TS	
.	мечтаем	422	TS	
.	старушек	420	TS	
.	чика	419	S	с заглавной 52% · рядом: линда 30, эта 24, ты 17
.	ниггеров	418	TS	
.	дядюшки	417	TS	
.	дилетант	413	TS	
.	раскусила	413	TS	
.	приглядеть	412	TS	
.	сорвется	411	S	
.	увяз	411	TS	
.	зажила	410	TS	
.	погуляю	410	TS	
.	спутал	410	TS	
.	займешь	409	TS	
.	смешную	409	TS	
.	воняло	408	TS	
.	ругайся	407	TS	
.	уберет	407	S	
.	шантажировала	407	TS	
.	флиртуешь	405	TS	
.	кипятись	403	TS	
.	шишку	403	TS	
.	выздоровела	401	TS	
.	грёбаного	401	TS	
.	реагирую	399	TS	
.	галлонов	396	TS	
.	экономка	395	S	
.	трезвой	394	TS	
.	жалуйся	393	TS	
.	отвлечет	391	S	
.	подаешь	391	S	
.	свалились	391	TS	
.	отплатил	390	TS	
.	животы	389	TS	
.	застрелит	389	TS	
.	исчезаешь	387	TS	
.	стрижкой	387	TS	
.	маменькин	386	TS	
.	прогони	386	TS	
.	безумцем	385	TS	
.	кретином	385	TS	
.	анестезию	384	TS	
.	добавишь	384	TS	
.	вставьте	382	TS	
.	индюк	382	TS	
.	подбросила	382	S	
.	переоделась	381	TS	
.	походку	381	TS	
.	прикроют	380	TS	
.	рекомендательное	379	TS	
.	отвалится	377	TS	
.	паршивое	377	TS	
.	унеси	377	TS	
.	хех	371	TS	Думали, я не справлюсь, хех?
.	покурю	370	TS	
.	психопаты	370	TS	
.	смазка	370	TS	
.	свяжем	369	S	
.	воздать	368	TS	
.	бастард	367	S	
.	приятней	367	TS	
.	высасывает	364	S	
.	вешайте	363	TS	
.	снадобье	363	TS	
.	боженька	361	TS	с заглавной 48% · Сказал как боженька.
.	вырубила	361	S	
.	психопатом	360	TS	
.	присматривали	359	TS	
.	урвать	359	TS	
.	построишь	358	TS	
.	поутру	358	TS	
.	людоед	357	TS	
.	неправдой	357	TS	
.	нытик	357	TS	
.	подстричься	357	TS	
.	прожектор	357	TS	
.	украдет	357	TS	
.	сердит	356	TS	
.	уткой	355	TS	
.	бесполезное	354	TS	
.	кутюр	354	TS	с заглавной 42% · Однажды, её мечта быть одетой от кутюр сбылась неожиданным образом.
.	мзн	354	S	рядом: нб 156, фп 66, бнзухчеят 40
.	зациклилась	353	S	
.	симпатичного	353	TS	
.	назначьте	352	S	
.	повесишь	350	TS	
.	вылетаю	349	TS	
.	крохотная	348	TS	
.	побьют	348	TS	
.	рассчитываете	347	TS	
.	невыносимая	345	TS	
.	алкоголичка	343	TS	
.	чреве	341	TS	
