# emoji_suggest_data.tsv — курируемые данные «слово → эмодзи» для полосы
# подсказок (миссия 1, docs/EMOJI-SUGGEST-PLAN.md). Формат строки:
# эмодзи<TAB>язык(ru|tt)<TAB>слово — одна строка на словоформу.
# Слова — нижний регистр, NFC, буквы соответствующего алфавита;
# normalize_word (scripts/dictionary_coverage.py). Полисемичные слова
# (см. DENYLIST в scripts/emoji_suggest_pack.py) сюда не входят.
# ===== эмоции и чувства (ru) =====
❤️	ru	сердце
❤️	ru	сердца
❤️	ru	сердцу
❤️	ru	сердцем
❤️	ru	любовь
❤️	ru	любви
❤️	ru	любовью
😊	ru	счастье
😊	ru	счастья
😊	ru	счастью
😊	ru	счастьем
😄	ru	радость
😄	ru	радости
😄	ru	радостью
😢	ru	грусть
😢	ru	грусти
😢	ru	грустью
😢	ru	печаль
😢	ru	печали
😢	ru	печалью
😢	ru	слёзы
😢	ru	слёз
😢	ru	слезы
😢	ru	слез
😢	ru	слезами
😞	ru	тоска
😞	ru	тоски
😞	ru	тоской
😱	ru	страх
😱	ru	страха
😱	ru	страхом
😱	ru	ужас
😱	ru	ужаса
😱	ru	ужасом
😡	ru	злость
😡	ru	злости
😡	ru	злостью
😡	ru	гнев
😡	ru	гнева
😡	ru	гневом
😡	ru	ярость
😡	ru	ярости
😡	ru	яростью
😲	ru	удивление
😲	ru	удивления
😲	ru	удивлением
😲	ru	шок
😲	ru	шока
😲	ru	шоком
🤩	ru	восторг
🤩	ru	восторга
🤩	ru	восторгом
😂	ru	смех
😂	ru	смеха
😂	ru	смехом
🙂	ru	улыбка
🙂	ru	улыбки
🙂	ru	улыбке
🙂	ru	улыбку
🙂	ru	улыбкой
😘	ru	поцелуй
😘	ru	поцелуя
😘	ru	поцелуем
🤗	ru	объятия
🤗	ru	объятий
🤗	ru	объятиями
😩	ru	усталость
😩	ru	усталости
😩	ru	усталостью
😴	ru	сон
😴	ru	сна
😴	ru	сну
😴	ru	сном
😴	ru	сне
😰	ru	волнение
😰	ru	волнения
😰	ru	волнением
😰	ru	тревога
😰	ru	тревоги
😰	ru	тревоге
😰	ru	тревогу
😰	ru	тревогой
😔	ru	обида
😔	ru	обиды
😔	ru	обиде
😔	ru	обиду
😔	ru	обидой
🥺	ru	жалость
🥺	ru	жалости
🥺	ru	жалостью
😇	ru	невинность
😇	ru	невинности
🙄	ru	сарказм
🙄	ru	сарказма
🙄	ru	сарказмом
😌	ru	спокойствие
😌	ru	спокойствия
😌	ru	спокойствием
💭	ru	мечта
💭	ru	мечты
💭	ru	мечте
💭	ru	мечту
💭	ru	мечтой
💭	ru	мысли
💭	ru	мыслей
💭	ru	мыслями
💭	ru	мыслях
💔	ru	разочарование
💔	ru	разочарования
💔	ru	разочарованием
😅	ru	неловкость
😅	ru	неловкости
# ===== эмоции: глаголы (ru) =====
❤️	ru	любить
❤️	ru	люблю
❤️	ru	любишь
❤️	ru	любит
❤️	ru	любим
❤️	ru	любите
❤️	ru	любят
🥺	ru	скучаю
🥺	ru	скучает
🥺	ru	скучают
🤗	ru	обнимаю
🤗	ru	обнимает
🤗	ru	обнимают
😘	ru	целую
😘	ru	целует
😘	ru	целуют
😘	ru	целовать
😢	ru	плакать
😢	ru	плачу
😢	ru	плачешь
😢	ru	плачет
😢	ru	плачем
😢	ru	плачете
😢	ru	плачут
😂	ru	смеяться
😂	ru	смеюсь
😂	ru	смеётся
😂	ru	смеется
😂	ru	смеются
🙂	ru	улыбаться
🙂	ru	улыбаюсь
🙂	ru	улыбается
🙂	ru	улыбаются
😴	ru	спать
😴	ru	сплю
😴	ru	спишь
😴	ru	спит
😴	ru	спим
😴	ru	спите
😴	ru	спят
🤔	ru	думать
🤔	ru	думаю
🤔	ru	думаешь
🤔	ru	думает
🤔	ru	думаем
🤔	ru	думаете
🤔	ru	думают
💭	ru	мечтать
💭	ru	мечтаю
💭	ru	мечтаешь
💭	ru	мечтает
💭	ru	мечтают
🎉	ru	поздравляю
🎉	ru	поздравляем
🎉	ru	поздравляют
🎉	ru	поздравлять
🏖️	ru	отдыхать
🏖️	ru	отдыхаю
🏖️	ru	отдыхает
🏖️	ru	отдыхают
🏃	ru	бежать
🏃	ru	бегу
🏃	ru	бежишь
🏃	ru	бежит
🏃	ru	бежим
🏃	ru	бежите
🏃	ru	бегут
🏊	ru	плавать
🏊	ru	плаваю
🏊	ru	плаваешь
🏊	ru	плавает
🏊	ru	плаваем
🏊	ru	плаваете
🏊	ru	плавают
🎮	ru	играть
🎮	ru	играю
🎮	ru	играешь
🎮	ru	играет
🎮	ru	играем
🎮	ru	играете
🎮	ru	играют
😋	ru	ем
😋	ru	ешь
😋	ru	ест
😋	ru	едим
😋	ru	едите
😋	ru	едят
🥤	ru	пью
🥤	ru	пьёшь
🥤	ru	пьешь
🥤	ru	пьёт
🥤	ru	пьет
🥤	ru	пьют
🥤	ru	пить
🤒	ru	заболел
🤒	ru	заболела
🤒	ru	заболело
🤒	ru	заболели
# ===== приветствия и жесты (ru) =====
👋	ru	привет
👋	ru	приветик
👋	ru	приветствие
🙏	ru	спасибо
🙏	ru	пожалуйста
👏	ru	аплодисменты
👏	ru	аплодисментов
👏	ru	аплодисментами
👏	ru	браво
👍	ru	лайк
👍	ru	лайка
👍	ru	лайку
👍	ru	лайком
👍	ru	лайке
🤝	ru	рукопожатие
🤝	ru	рукопожатия
🤝	ru	рукопожатием
✌️	ru	победа
✌️	ru	победы
✌️	ru	победе
✌️	ru	победу
✌️	ru	победой
💪	ru	сила
💪	ru	силы
💪	ru	силе
💪	ru	силу
💪	ru	силой
🤞	ru	удача
🤞	ru	удачи
🤞	ru	удаче
🤞	ru	удачу
