# ПОРЦИЯ tt-016 — 16 из 19. Слова 3001–3200 из 3734 (татарская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	максатмы	3	S	
.	мактан	3	T	
.	малайларың	3	S	
.	мандалор	3	S	
.	мансон	3	S	с заглавной 100% · рядом: исеме 1, үлгән 1, бәйләнәме 1
.	мантыйгын	3	T	
.	маршалның	3	S	
.	марҗамы	3	T	
.	матай	3	S	
.	машинагыз	3	T	
.	медуза	3	TS	
.	медузалар	3	T	
.	мембата	3	S	с заглавной 100% · рядом: исәптән 1, утравында 1
.	мемфис	3	S	с заглавной 100% · рядом: азия 1, һәрвакыт 1, вакыты 1
.	мескенне	3	TS	
.	метастазлар	3	S	
.	миегез	3	TS	
.	миеңне	3	TS	
.	мик	3	S	с заглавной 100% · рядом: безгә 1, әле 1, яз 1
.	микрокомпьютер	3	S	
.	мильдә	3	S	
.	минди	3	S	с заглавной 100% · рядом: парк 2, сәлам 1
.	минекеләре	3	S	
.	мистериога	3	S	
.	мияу	3	TS	
.	молчановский	3	S	с заглавной 100%
.	монтан	3	S	с заглавной 100% · рядом: башланды 1, кулын 1, шайтан 1
.	монымы	3	S	
.	мораг	3	S	
.	морбо	3	S	с заглавной 100% · рядом: линда 1, яңалыкларда 1
.	мордо	3	S	с заглавной 100% · рядом: карл 1, баш 1, синең 1
.	мориарти	3	S	с заглавной 100% · рядом: дин 2, исеменә 1, әлбәттә 1
.	моторны	3	T	
.	муенсасын	3	TS	
.	музыкачы	3	T	
.	мускуллы	3	TS	
.	мыжык	3	S	
.	мэнди	3	S	с заглавной 100% · рядом: аксель 1, син 1
.	мэнтис	3	S	с заглавной 100% · рядом: гамора 1, уң 1
.	мәгарәләрдән	3	S	
.	мәчкәйләргә	3	S	
.	мәчкәйнең	3	S	
.	мөгамәләне	3	TS	
.	мөгезенә	3	TS	
.	мөгәен	3	S	
.	мөмкинлектә	3	S	
.	мөһимрәкме	3	S	
.	наданнарга	3	TS	
.	намастэ	3	S	
.	намусыңны	3	T	
.	нейроннар	3	TS	
.	неоны	3	S	с заглавной 100% · рядом: коткар 1, мин 1, эзлим 1
.	нефрит	3	S	
.	никотинлы	3	S	
.	нимбуска	3	S	с заглавной 100% · рядом: корабым 1, охшаган 1, лила 1
.	ничәне	3	S	
.	нишлиячәксең	3	S	
.	номерым	3	T	
.	норвуд	3	S	с заглавной 100% · рядом: хелен 2
.	нормальме	3	T	
.	норск	3	S	с заглавной 100% · рядом: тапкыр 1
.	ныгыт	3	S	
.	нэтны	3	S	с заглавной 100% · рядом: күрәсеңме 2, кэп 1
.	нәмәзмәте	3	S	
.	обручевны	3	S	с заглавной 100% · рядом: өч 1, күсе 1, табыгыз 1
.	оеды	3	TS	
.	омега	3	TS	
.	онытмасам	3	TS	с заглавной 50% · "Тик син миңа исемә төшер". - "Онытмасам, исеңә төшерермен".
.	онытчак	3	T	
.	ооп	3	S	рядом: җидегән 1, сездән 1
.	оп	3	S	с заглавной 50% · рядом: брук 2, лангедейк 2
.	операциясез	3	S	
.	оптимус	3	S	с заглавной 100% · рядом: икс 3, аңа 1, мейсонның 1
.	орбитасына	3	S	
.	оргокорпның	3	S	с заглавной 100% · рядом: архивы 1, оргоскоп 1, нигезе 1
.	остадан	3	T	
.	остамы	3	TS	
.	остинны	3	S	с заглавной 100% · рядом: мин 1, джунглига 1, дамы 1
.	оттырдың	3	TS	
.	отчетны	3	T	
.	официантны	3	S	
.	охшаганмын	3	TS	
.	очмас	3	TS	
.	очратканымны	3	T	
.	очраттың	3	TS	
.	очрашасым	3	TS	
.	очрашмадым	3	TS	
.	очраштың	3	T	
.	очуга	3	S	
.	очыгыз	3	TS	
.	ошадым	3	TS	
.	ошадың	3	S	
.	ошамыйм	3	TS	
.	ошарлык	3	TS	
.	ошыйсыз	3	S	
.	оялмаган	3	T	
.	оялмыйм	3	TS	
.	оятсызның	3	T	
.	оҗмахы	3	S	
.	пальм	3	S	с заглавной 100% · рядом: сез 1, спрингс 1, спрингска 1
.	пальтоңны	3	T	
.	папкада	3	S	
.	парадоксы	3	S	
.	паркерга	3	S	с заглавной 100% · рядом: сабагын 1, күзлекне 1, питер 1
.	патшалыкны	3	S	с заглавной 67% · рядом: күзәтчелек 1, яклый 1, тугыз 1
.	паундер	3	S	
.	пеннига	3	S	с заглавной 100% · рядом: миңа 2, өйләнүемә 1, шалтыратырга 1
.	перси	3	TS	с заглавной 100% · рядом: ван 1, яхшы 1, син 1
.	пештем	3	TS	
.	пешәр	3	T	
.	пикникка	3	S	
.	пинг	3	S	с заглавной 50% · рядом: ву 1
.	пирс	3	S	с заглавной 100% · рядом: әфәнде 1, александр 1, аста 1
.	планетабыздагы	3	TS	
.	планетасыннан	3	S	
.	планнарың	3	T	
.	планым	3	T	
.	платиналы	3	S	
.	портсигар	3	S	
.	пошкырып	3	T	
.	прайс	3	S	с заглавной 100% · рядом: фрэнсис 1, хизертон 1, моны 1
.	принцессаны	3	T	
.	проблемнарың	3	T	
.	процессорына	3	S	
.	псс	3	S	
.	пудинг	3	S	с заглавной 100% · рядом: башланды 1
.	пычранса	3	TS	
.	пэп	3	S	с заглавной 100% · рядом: мин 1
.	пәрәвезен	3	TS	
.	расс	3	S	с заглавной 100% · рядом: әй 1, киңәш 1
.	реймонд	3	S	с заглавной 100% · рядом: сезне 1, түземсез 1
.	рейсында	3	S	
.	ресторандагы	3	TS	
.	рнк	3	S	с заглавной 100% · рядом: үрмәкүчкә 2, күчерәбез 2, тапшыру 1
.	розен	3	S	
.	ройс	3	S	
.	рухларны	3	TS	
.	рәнҗетәсең	3	TS	
.	рөхсәтегез	3	TS	
.	сабырлыгым	3	TS	
.	савыгыр	3	TS	
.	савыгырга	3	S	
.	сагынасың	3	S	
.	сагынды	3	TS	
.	сазын	3	TS	
.	сайланганның	3	S	
.	сайларлык	3	TS	
.	сайлыйсыз	3	S	
.	сайлыкка	3	S	
.	сайлыкта	3	TS	
.	сайонара	3	S	
.	сайрамый	3	T	
.	салдырдым	3	S	
.	салдыңмы	3	TS	
.	салы	3	TS	
.	салышмагыз	3	T	
.	санаганны	3	T	
.	сантаның	3	S	с заглавной 100% · рядом: яшерен 1, артында 1, мин 1
.	саным	3	TS	
.	сарыкылыч	3	T	с заглавной 100% · Серафим карт Сарыкылыч кәшишханәсендә монах булган.
.	саташтым	3	TS	
.	сато	3	TS	
.	сатырның	3	S	с заглавной 100% · рядом: миңа 1, поскыны 1, гомер 1
.	сафсатаны	3	TS	
.	сафсатасы	3	TS	
.	свитерын	3	T	
.	сезнекеннән	3	TS	
.	селкен	3	TS	
.	сенсоры	3	S	
.	серең	3	TS	
.	серләреңне	3	TS	
.	серсүзең	3	S	
.	сеңлегез	3	S	
.	сигән	3	S	
.	сикерегез	3	TS	
.	сикертә	3	TS	
.	симпутрон	3	S	с заглавной 100% · рядом: минем 1, йөз 1, моны 1
.	синбад	3	S	с заглавной 100% · рядом: диңгезче 1, сөйләргә 1
.	синдзюку	3	S	
.	ситига	3	S	с заглавной 100% · рядом: китәрсең 1, дог 1, хуш 1
.	ситикокуяма	3	S	с заглавной 100% · рядом: хастаханәгә 1
.	сихерли	3	S	
.	сихерләр	3	S	
.	сиңамы	3	S	
.	смизмар	3	S	
.	соравың	3	TS	
.	сораганнарның	3	T	
.	сораганың	3	S	
.	сорамасаң	3	TS	
.	сорарбыз	3	TS	
.	сораргамы	3	S	
.	сораумы	3	S	
.	соусын	3	S	
.	соңардым	3	S	
.	соңгарам	3	S	
.	стальск	3	S	с заглавной 100% · рядом: нәкъ 1, көнне 1
.	старла	3	S	с заглавной 100% · рядом: әле 1, кызым 1
.	стен	3	S	с заглавной 100% · рядом: винстен 1, әле 1, синнән 1
.	стриминг	3	S	
.	субатом	3	S	
