# ПОРЦИЯ tt-007 — 7 из 19. Слова 1201–1400 из 3734 (татарская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	калачакмын	13	TS	
.	кычкырма	13	TS	
.	күт	13	TS	Хат язарга түгел, күт кашырга да вакыт юк.
.	тоелмыймы	13	TS	
.	хм	13	TS	рядом: мин 1, анда 1, аларны 1
.	эзлисезме	13	TS	
.	эшләгәнегезне	13	TS	
.	албастыны	12	TS	
.	ашамадым	12	TS	
.	белүеңне	12	TS	
.	бриллиантны	12	S	
.	икегезне	12	TS	
.	калуыңны	12	TS	
.	киен	12	TS	
.	мактанма	12	TS	
.	теләмәдең	12	TS	
.	туктатма	12	TS	с заглавной 36% · рядом: мине 23, аны 1
.	туктыйк	12	TS	
.	хәтерлисең	12	TS	
.	ычкын	12	TS	
.	әйтмәсәң	12	TS	
.	бирмәм	11	TS	
.	качасың	11	TS	
.	килмәдең	11	TS	
.	куштымы	11	TS	
.	күндердем	11	TS	
.	сайладың	11	TS	
.	сизәсеңме	11	TS	
.	таллий	11	S	
.	тычкак	11	TS	
.	хәлләрегез	11	TS	
.	шаяртасың	11	TS	
.	эшличәк	11	S	
.	әйтәсеңме	11	TS	
.	өйрәтмә	11	TS	
.	авыртачак	10	S	
.	аттың	10	TS	
.	ачмагыз	10	TS	
.	ачуланасың	10	TS	
.	ашарсың	10	TS	
.	ашыкмыйм	10	TS	
.	баруыңны	10	TS	
