# ПОРЦИЯ tt-013 — 13 из 19. Слова 2401–2600 из 3734 (татарская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	язасызмы	4	T	
.	язылмадым	4	S	
.	яклаусыз	4	S	
.	ялганлыйсыз	4	T	
.	ялганлыйсың	4	T	
.	ялгышсаң	4	S	
.	яндырдым	4	TS	
.	япмаган	4	TS	
.	яптың	4	TS	
.	яралымы	4	S	
.	ярам	4	TS	
.	яратмыйсыз	4	TS	
.	яраттың	4	TS	
.	яхшыракны	4	TS	
.	яшердек	4	S	
.	яшерәсез	4	TS	
.	җайладым	4	TS	
.	җаный	4	T	
.	җибәрәсез	4	S	
.	җилкәңне	4	S	
.	җимерелгәнче	4	TS	
.	җитдиме	4	TS	
.	җитәчәкме	4	S	
.	җиңсәң	4	TS	
.	җиңу	4	S	
.	җыенмадым	4	TS	
.	җылыханә	4	T	
.	үзгәрмәдеме	4	S	
.	үзгәрттең	4	TS	
.	үзәннәреңә	4	T	
.	үкенәчәксең	4	S	
.	үлдегез	4	S	
.	үлегез	4	TS	
.	үлемеңне	4	S	
.	үлемкылычы	4	S	с заглавной 100% · рядом: иясен 1, тагын 1, нәрсә 1
.	үлчәнешендә	4	S	
.	үлчәнешенә	4	S	
.	үлүдән	4	TS	
.	үпкән	4	TS	
.	үптем	4	TS	
.	үптең	4	TS	
.	үстең	4	TS	
.	үтерербез	4	TS	
.	үтерәчәкбез	4	TS	
.	үтерәчәксез	4	S	
.	үткәрсәм	4	TS	
.	үткәрәсем	4	S	
.	һайван	4	S	
.	һмм	4	S	
.	әйләндер	4	S	
.	әйтергәме	4	TS	
.	әйткәнең	4	TS	
.	әйтүемә	4	T	
.	әрәмтамаклар	4	TS	
.	әтәчнең	4	T	
.	әфсеннәр	4	S	
.	өйрәндегез	4	TS	
.	өлгерермен	4	TS	
.	өметсезләнмәгез	4	S	
.	өрәкле	4	TS	
.	аааа	3	S	
.	автомобилем	3	T	
.	авырлыгым	3	T	
.	авырлыгымны	3	T	
.	авыртадыр	3	S	
.	агулаган	3	TS	
.	агулады	3	TS	
.	агыз	3	S	
.	адресымны	3	T	
.	аер	3	S	рядом: брезентны 1, кәртләрне 1, әле 1
.	айбалта	3	TS	
.	акылыгызны	3	S	
.	акылымны	3	TS	
.	акырырга	3	TS	
.	алачакбызмы	3	S	
.	албастыдан	3	S	
.	алганыңа	3	S	
.	алдавың	3	S	
.	алдаганымны	3	TS	
.	алдаганын	3	TS	
.	алдаганыңны	3	S	
.	алдамас	3	T	
.	алекстан	3	TS	
.	алиби	3	TS	
.	алкушымчасы	3	T	
.	алкышлагыз	3	TS	
.	аллахның	3	S	
.	алоһомора	3	S	
.	алперт	3	S	с заглавной 100% · рядом: ричард 1, бекон 1, әйтте 1
.	алтмышта	3	T	
.	алыштырдың	3	TS	
.	альдо	3	S	с заглавной 100% · рядом: исеме 1, ач 1
.	америкалымы	3	T	
.	амнезия	3	S	
.	аназонның	3	S	с заглавной 100% · рядом: сәүдә 1, чыннан 1, мин 1
.	аныңда	3	S	
.	апагызны	3	TS	
.	апаңның	3	TS	
.	аптечканы	3	S	
.	арттагыларын	3	T	
.	арттырам	3	S	
.	артыңны	3	S	
.	арыгансың	3	T	
.	арымадым	3	T	
.	арымас	3	T	
.	аслыгы	3	S	
.	асс	3	S	с заглавной 100% · рядом: әгәр 1, плэйска 1
.	астыгызга	3	TS	
.	атадың	3	S	
.	атамагыз	3	TS	
.	атамы	3	TS	
.	атмассың	3	S	
.	атмыйчаксың	3	S	
.	атучыны	3	S	
.	аучыдан	3	T	
.	афтавыз	3	S	
.	ахмакмы	3	TS	
.	ахырның	3	S	
.	ахырың	3	TS	
.	ацидалий	3	S	с заглавной 100% · рядом: тигезлеге 3
.	ачабызмы	3	S	
.	ачара	3	S	с заглавной 100% · рядом: мин 1, күрәсеңме 1
.	ачасызмы	3	TS	
.	ачуландырырга	3	T	
.	ачуланмас	3	T	
.	ачуланмыйм	3	TS	
.	ачыктым	3	T	
.	ачыктыңмы	3	T	
.	ашаганчы	3	T	
.	ашаттык	3	TS	
.	ашым	3	T	
.	аюларның	3	TS	
.	аюсын	3	S	
.	аңкау	3	T	
.	аңлаганыңны	3	S	
.	аңламассыз	3	T	
.	аңланда	3	S	
